LGA_code,LGA_name,0-14 count,"0-14 ASR per 100,000",0-14 SR,15-24 count,"15-24 ASR per 100,000",15-24 SR
56860,Nungarin (S),#,..,..,#,..,..
57000,Perenjori (S),#,..,..,#,..,..
57140,Pingelly (S),#,..,..,#,..,..
57210,Plantagenet (S),#,..,..,#,..,..
57280,Port Hedland (T),76,"1,741.70",236,6,423.5,106
57350,Quairading (S),#,..,..,#,..,..
57420,Ravensthorpe (S),#,..,..,#,..,..
57630,Sandstone (S),#,..,..,#,..,..
57770,Shark Bay (S),#,..,..,#,..,..
58190,Tammin (S),#,..,..,#,..,..
58260,Three Springs (S),#,..,..,#,..,..
58330,Toodyay (S),#,..,..,#,..,..
58400,Trayning (S),#,..,..,#,..,..
58470,Upper Gascoyne (S),#,..,..,#,..,..
58540,Victoria Plains (S),#,..,..,#,..,..
58610,Wagin (S),#,..,..,#,..,..
58680,Wandering (S),#,..,..,#,..,..
58890,West Arthur (S),#,..,..,#,..,..
59030,Westonia (S),#,..,..,#,..,..
59100,Wickepin (S),#,..,..,#,..,..
59170,Williams (S),#,..,..,#,..,..
59250,Wiluna (S),#,..,..,#,..,..
59310,Wongan-Ballidu (S),#,..,..,#,..,..
59320,Woodanilling (S),#,..,..,#,..,..
59330,Wyalkatchem (S),#,..,..,#,..,..
59340,Wyndham-East Kimberley (S),43,"2,237.60",304,8,952.2,239
59350,Yalgoo (S),#,..,..,#,..,..
59360,Yilgarn (S),#,..,..,#,..,..
59370,York (S),#,..,..,#,..,..
PHN601,Tasmania,386,428,58,173,274.8,69
60210,Break O'Day (M),#,..,..,#,..,..
60410,Brighton (M),20,495.4,67,9,377.8,95
60610,Burnie (C),16,457.5,62,10,400,100
60810,Central Coast (M),14,416.8,57,7,297.8,75
61010,Central Highlands (M),#,..,..,#,..,..
61210,Circular Head (M),9,585,79,#,..,..
61410,Clarence (C),32,315,43,16,260.9,65
61510,Derwent Valley (M),8,427.9,58,#,..,..
61610,Devonport (C),37,854.9,116,14,481.6,121
61810,Dorset (M),5,505.7,69,#,..,..
62010,Flinders (M),#,..,..,#,..,..
62210,George Town (M),5,462.9,63,#,..,..
62410,Glamorgan/Spring Bay (M),#,..,..,#,..,..
62610,Glenorchy (C),31,356.2,48,13,219.8,55
62810,Hobart (C),21,277.8,38,9,106.9,27
63010,Huon Valley (M),6,199.5,27,5,294.6,74
63210,Kentish (M),7,842.8,114,#,..,..
63410,King Island (M),#,..,..,#,..,..
63610,Kingborough (M),23,329.1,45,9,209.8,53
63810,Latrobe (M),12,704,96,5,505.3,127
64010,Launceston (C),66,552.4,75,26,263.3,66
64210,Meander Valley (M),11,351.1,48,5,253.8,64
64610,Northern Midlands (M),9,401.2,54,6,412.1,103
64810,Sorell (M),8,287.1,39,8,489,123
65010,Southern Midlands (M),#,..,..,#,..,..
65210,Tasman (M),#,..,..,#,..,..
65410,Waratah/Wynyard (M),15,660.8,90,#,..,..
65610,West Coast (M),#,..,..,#,..,..
65810,West Tamar (M),13,343.9,47,6,226.8,57
PHN701,Northern Territory,"1,002","1,839.50",250,298,928.1,233
70200,Alice Springs (T),206,"3,463.90",470,62,"2,087.50",524
70420,Barkly (R),114,"5,747.70",780,18,"1,561.90",392
70540,Belyuen (S),#,..,..,#,..,..
70620,Central Desert (R),65,"5,799.00",787,9,"1,393.30",350
70700,Coomalie (S),#,..,..,#,..,..
71000,Darwin (C),104,633.8,86,79,813.1,204
71300,East Arnhem (R),41,"1,539.40",209,9,431.5,108
72200,Katherine (T),44,"1,755.00",238,8,625,157
72300,Litchfield (M),48,"1,213.00",165,17,554.7,139
72330,MacDonnell (R),119,"7,824.30",1062,15,"1,313.30",330
72800,Palmerston (C),142,"1,339.60",182,46,908.1,228
73600,Roper Gulf (R),40,"2,114.50",287,10,784.1,197
74050,Tiwi Islands (R),#,..,..,#,..,..
74550,Victoria Daly (R),13,"1,601.80",217,#,..,..
74560,Wagait (S),#,..,..,#,..,..
74660,West Arnhem (R),11,717.7,97,6,500.4,126
74680,West Daly (R),5,534.5,73,#,..,..
79399,Unincorporated NT,41,"2,829.60",384,8,"1,124.90",282
PHN801,Australian Capital Territory,337,402.9,55,263,438.6,110
89399,Unincorporated ACT,337,402.9,55,262,436.9,110
,,,,,,,
,Primary Health Network totals,,,,,,
PHN101,Central and Eastern Sydney,"1,206",457.7,62,626,271.1,68
PHN102,Northern Sydney,821,490.8,67,336,290.2,73
PHN103,Western Sydney,"1,281",575.2,78,549,414.4,104
PHN104,Nepean Blue Mountains,713,926.8,126,168,341,86
PHN105,South Western Sydney,"1,837",830.7,113,426,297.8,75
PHN106,South Eastern NSW,552,502.4,68,230,302.7,76
PHN107,Western NSW,612,968.9,132,141,385.7,97
PHN108,Hunter New England and Central Coast,"1,371",582.3,79,423,274.9,69
PHN109,North Coast,561,664.4,90,184,342.7,86
PHN110,Murrumbidgee,341,725.5,99,200,686.6,172
PHN201,North Western Melbourne,"2,493",688.6,93,"1,019",381.1,96
PHN202,Eastern Melbourne,"2,020",731,99,680,308.1,77
PHN203,South Eastern Melbourne,"2,098",699.9,95,809,400,100
PHN204,Gippsland,361,724.9,98,130,429.8,108
PHN205,Murray,746,661.2,90,253,345,87
PHN206,Western Victoria,"1,021",865.1,117,378,473,119
PHN301,Brisbane North,"1,422",762.3,104,622,426.9,107
PHN302,Brisbane South,"2,304",989.3,134,932,570.7,143
PHN303,Gold Coast,"1,301","1,159.60",157,435,534,134
PHN304,Darling Downs and West Moreton,834,676.8,92,408,551,138
PHN305,Western Queensland,156,"1,040.00",141,64,932.4,234
PHN306,"Central Queensland, Wide Bay, Sunshine Coast","1,760","1,159.80",157,581,598.2,150
PHN307,Northern Queensland,"1,209",874.5,119,492,556,140
PHN401,Adelaide,"2,107",970.6,132,463,285.1,72
PHN402,Country SA,627,731.6,99,217,388.7,98
PHN501,Perth North,"1,054",513.7,70,494,362.9,91
PHN502,Perth South,"1,042",517.3,70,326,252.2,63
PHN503,Country WA,950,883.9,120,203,368.1,92
PHN601,Tasmania,386,428,58,173,274.8,69
PHN701,Northern Territory,"1,002","1,839.50",250,298,928.1,233
PHN801,Australian Capital Territory,337,402.9,55,263,438.6,110
,,,,,,,
,,,,,,,
,AUSTRALIA+,"34,771",736.5,100,"12,929",398.3,100
,Greater Capital Cities,"22,127",686,93,"8,325",363.6,91
,Rest of States/ NT,"12,409",829.8,113,"4,199",439.1,110
,Greater Capital Cities and Major Urban Centres++,"25,014",701.6,95,"9,304",366.6,92
,Rest of States/ NT excluding Major Urban Centres++,"9,522",823.9,112,"3,220",454.7,114
,,,,,,,
,New South Wales,"9,380",623.5,85,"3,325",323.5,81
,Greater Sydney,"6,194",617.6,84,"2,224",315.8,79
,Rest of New South Wales,"3,156",629.4,85,"1,087",336,84
,"Greater Sydney, Illawarra, and Newcastle and Lake Macquarie","6,771",600.5,82,"2,469",309.7,78
,"Rest of NSW excluding Illawarra, and Newcastle and Lake Macquarie","2,579",684.3,93,842,365,92
,,,,,,,
,New South Wales: PHN total,"9,300",622.7,85,"3,284",321.6,81
,,,,,,,
,Victoria,"8,698",719.4,98,"3,253",375.2,94
,Greater Melbourne,"6,614",704.1,96,"2,508",363.3,91
,Rest of Victoria,"2,078",770.3,105,734,415.5,104
,Greater Melbourne and Geelong,"7,326",735.3,100,"2,675",366.9,92
,Rest of Victoria excluding Geelong,"1,366",642.1,87,567,410.8,103
,,,,,,,
,Victoria: PHN total,"8,742",716.6,97,"3,269",374.1,94
,,,,,,,
,Queensland,"8,988",934.6,127,"3,535",537.9,135
,Greater Brisbane,"4,198",867.7,118,"1,808",522.6,131
,Rest of Queensland,"4,790","1,002.40",136,"1,727",555,139
,"Greater Brisbane, Gold Coast  and Townsville","5,796",902.7,123,"2,375",513.4,129
,Rest of Queensland excluding Gold Coast and Townsville,"3,192",998.7,136,"1,160",596.3,150
,,,,,,,
,South Australia,"2,736",903.6,123,681,312.1,78
,Greater Adelaide,"2,256",951.5,129,498,281.9,71
,Rest of South Australia,478,727.9,99,182,438.1,110
,,,,,,,
,Western Australia,"3,058",593.7,81,"1,024",319.5,80
,Greater Perth,"2,093",514.6,70,818,308.8,78
,Rest of Western Australia,954,880.5,120,205,368.4,92
,,,,,,,
,Tasmania,386,428,58,173,274.8,69
,Greater Hobart,139,339.4,46,64,217.5,55
,Rest of Tasmania,247,501.7,68,109,325,82
,,,,,,,
,Northern Territory,"1,002","1,839.50",250,298,928.1,233
,Greater Darwin,296,946.8,129,143,801,201
,Rest of Northern Territory,706,"3,042.20",413,155,"1,087.10",273
,,,,,,,
,Australian Capital Territory (Canberra),337,402.9,55,263,438.6,110
,,,,,,,
,,,,,,,
,#NAME?,,,,,,
,,,,,,,
,#NAME?,,,,,,
,,,,,,,
,"*The data presented by Local Government Area (LGA) have been estimated from population health areas (PHAs), as the LGA of usual residence was not more accurately geocoded (e.g., from the street address). These estimates are of variable quality, as the allocation from a PHA to one or more LGAs was based on the proportion of the total population falling within LGAs covered by the PHA. The proportional allocations are as provided by the Australian Bureau of Statistics (ABS) at the statistial area level 2 (SA2) level. However, the allocations are based on total populations: therefore, where the LGA is allocated a proportion of the cases from a PHA, it will not give an accurate allocation for the Aboriginal cases where there is a relatively large Aboriginal population.  For more information, refer to the Notes on the data.",,,,,,
